rawText,ingredientMasterId
귀리식이섬유(고시형),132
알로에베라겔동결건조분말,381
저분자콜라겐펩타이드GT(기능성원료인정제2022-6호),454
칼슘분말(고시형),491
해조분말,491
강황추출물(제2023-5호),113
루테인지아잔틴복합추출물(기능성원료인정제2018-11호),215
자일로올리고당(xylooligosaccharide) 분말(기능성원료인정제2009-80호),442
염화크롬(고시형),501
인삼(고시형),435
토마토추출물(고시형),517
10종혼합유산균분말,541
스페인감초추출물(기능성원료인정제2014-4호),346
프로폴리스(고시형),550
Enterococcus faecalis(고시형),541
건조효모(비타민D2),306
그린커피빈주정추출물(기능성원료인정제2018-6호),135
비타민B12혼합분말,302
빌베리 추출물(고시형),310
홍삼농축액(농축물)분말,588
산양유분말,163
인산철,482
키토산(고시형),506
Bifidobacterium animalis ssp lactis분말(고시형),541
Bifidobacterium longum,541
N-아세틸글루코사민,75
"가르시니아캄보지아 추출물분말(가루, 과립)",101
백수오 등 복합추출물(기능성원료인정제2010-20호),273
분말비타민 A(고시형),300
은행잎추출물분말,430
제삼인산칼슘(고시형),491
테아닌,514
파라다이스넛추출물분말,336
HK 나토배양물(기능성원료인정제2009-50호),33
리스펙타(Respecta®)[프로바이오틱스 등 복합물](기능성원료인정제2019-26호),223
보라지 종자(고시형),109
비타민 D 혼합제제,306
비타민 D3 혼합분말,306
유산균발효굴추출물(FGO)(제2024-26호),422
헴철,482
Lactobacillus acidophilus,541
아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호),380
프로바이오틱스(드시모네)(기능성원료인정제2009-28호),547
Bifidobacterium infantis,541
김치유산균혼합분말,541
발효홍삼농축액분말,586
염화칼륨(고시형),490
은행잎추출물,430
탄산칼슘혼합제제,491
헴철(고시형),482
글루코사민황산염분말(고시형),139
마리골드꽃추출물(지아잔틴함유)(제2025-7호),232
알로에겔분말농축(고시형),381
제이인산칼슘(고시형),491
클로렐라(고시형),505
녹차추출물,159
아쉬아간다 추출물(ShodenⓇ)(제2022-27호),375
풋사과추출물 애플페논(Applephenon)(기능성원료인정제2015-9호),539
프로폴리스추출물,550
레몬껍질추출물분말,395
밀크씨슬(카라두스 마리아누스)추출물(고시형),258
비타민E,307
젖산칼슘,491
"차전자피분말(가루, 과립)",470
5종혼합유산균,541
L-카르니틴 타르트레이트(기능성원료인정제2012-19호),42
분말비타민 A,300
비타민 B12 혼합제제,302
비타민 B2(Riboflavin),303
석류농축액(기능성원료인정제2014-22호),333
스페인감초추출물(기능성원료인정제2019-7호),346
식품첨가물혼합제제,90
D-알파-토코페롤 혼합제제,307
곤약감자추출물(고시형),116
니코틴산,147
몰리브덴산나트륨(고시형),243
비타민 C(L-Ascorbic acid),305
수산화마그네슘,226
저분자콜라겐펩타이드 AG(제2023-10호),453
감태추출물(기능성원료인정제2015-6호),111
미숙여주주정추출분말(기능성원료인정제2020-14호),249
인동덩굴꽃봉오리추출물(그린세라-F)(기능성원료인정제2019-14호),134
폴리덱스트로스(고시형),533
L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물(제2019-4호),45
베타글루칸분말(기능성원료인정제2020-10호),276
셀렌산나트륨(고시형),336
알로에전잎(고시형),382
인삼분말,435
폴리감마글루탐산,532
"디메틸설폰(Methyl sulfonylmethane, MSM)분말(고시형)",389
마리골드 꽃(고시형),231
모로오렌지추출분말(Morosil®)(기능성원료인정제2021-7호),240
시서스추출물(기능성원료인정제2018-14호),350
저분자콜라겐펩타이드(제2023-14호),452
Lactobacillus rhamnosus,541
이눌린/치커리추출물(고시형),432
나이아신,147
나토균배양분말(기능성원료인정제2013-6호),148
난소화성말토덱스트린분말(고시형),153
분리유단백분말,163
완두단백,163
유단백가수분해물(락티움)(기능성원료인정제2020-2호),419
Bifidobacterium breve B-3 프로바이오틱스(제2023-2호),10
키토산분말(고시형),506
Lactobacillus helveticus,541
석류농축분말(기능성원료인정제2018-8호),331
석류추출물(기능성원료인정제2015-28호),332
유산균배양건조물,541
태극삼(고시형),435
"비타민 C분말(가루, 과립)",305
자몽추출물등 복합물(Sinetrol)(기능성원료인정제2019-24호),440
"Lactobacillus acidophilus분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
"Lactobacillus rhamnosus분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
레몬 밤 추출물 혼합분말(기능성원료인정제2010-24호),204
